,1k,10k,100k,1m,10m,100m
Uninstrumented,,,,,,
1,0,0,0,0,0.07,0.6
2,0,0,0,0.01,0.07,0.6
3,0,0,0,0,0.06,0.59
4,0,0,0,0.01,0.07,0.6
5,0,0,0,0,0.06,0.6
6,0,0,0,0,0.06,0.6
7,0,0,0,0,0.07,0.61
8,0,0,0,0,0.07,0.62
9,0,0,0,0,0.07,0.61
10,0,0,0,0.01,0.07,0.59
,,,,,,
PID,,,,,,
1,0.35,0.39,0.41,1.16,7.85,72.8
2,0.34,0.34,0.44,1.1,7.95,72.46
3,0.36,0.36,0.42,1.09,7.96,72.58
4,0.35,0.35,0.41,1.07,8.03,72.61
5,0.33,0.35,0.41,1.06,7.98,71.89
6,0.34,0.35,0.41,1.11,8.17,72.59
7,0.33,0.35,0.39,1.11,8.11,71.74
8,0.35,0.34,0.43,1.12,7.93,72.08
9,0.35,0.35,0.42,1.06,8.08,72.17
10,0.34,0.35,0.4,1.08,8.05,72.71
,,,,,,
Static Probes (USDT),,,,,,
1,0.34,0.34,0.38,1.02,7.42,66.1
2,0.34,0.34,0.39,1.01,7.35,66.47
3,0.34,0.35,0.38,1.03,7.23,66.25
4,0.32,0.34,0.38,1.02,7.25,66.33
5,0.34,0.33,0.4,1.01,7.39,66.95
6,0.33,0.34,0.4,1.03,7.37,66.27
7,0.32,0.36,0.38,1.02,7.35,65.51
8,0.34,0.34,0.38,1.01,7.37,67.06
9,0.33,0.34,0.37,1,7.35,65.12
10,0.33,0.34,0.38,1.03,7.45,66.41
,,,,,,
,,,,,,
Printf (user+sys),,,,,,
1,0,0,0.06,0.39,3.09,32.63
2,0,0,0.05,0.38,3.23,30.2
3,0,0,0.06,0.43,3.12,30.44
4,0,0.01,0.06,0.38,3.17,30.53
5,0,0.01,0.05,0.41,3.1,31.3
6,0,0,0.06,0.43,3.27,30.44
7,0,0,0.06,0.39,3.16,30.32
8,0,0,0.06,0.37,3.25,30.45
9,0,0,0.05,0.41,3.15,30.42
10,0,0.01,0.06,0.39,3.22,30.45
